theorem,mutant,result,encoding,nunchaku,recovery
Option.isNone_pmap,0,UNSAT,31,214,0
Option.not_mem_none,0,UNSAT,8,165,0
Option.join_ne_none,0,UNSAT,51,161,0
Option.ne_none_iff_isSome,0,UNSAT,7,161,0
Option.bind_map,0,UNSAT,57,247,0
Option.map_id',0,UNSAT,46,187,0
Option.join_pfilter,0,UNSAT,128,348,0
Option.bind_apply,0,UNSAT,59,227,0
Option.comp_map,0,UNSAT,49,209,1
Option.orElse_fun_none,0,UNSAT,24,174,0
Option.guard_beq_none,0,UNSAT,195,255,0
Option.isSome_dite',0,UNSAT,64,285,0
Option.isSome_of_mem,0,UNSAT,19,216,0
Option.guard_comp,0,UNSAT,139,321,0
Option.elim_filter,0,UNSAT,61,276,0
Option.isSome_choice_iff_nonempty,0,UNSAT,33,317,0
Option.map_eq_bind,0,UNSAT,39,172,0
Option.getD_eq_iff,0,UNSAT,34,224,0
Option.orElse_fun_some,0,UNSAT,66,181,1
Option.guard_true,0,UNSAT,38,170,0
Option.none_beq_none,0,UNSAT,40,211,0
Option.join_le,0,UNSAT,96,271,0
Option.right_le_max,0,UNSAT,76,422,0
Option.associative_merge,0,UNSAT,72,3253,0
Option.not_comp_isNone,0,UNSAT,25,174,1
Option.filter_some_neg,0,UNSAT,25,225,0
Option.none_beq_some,0,UNSAT,151,288,0
Option.isSome_apply_of_isSome_bind,0,UNSAT,29,219,0
Option.min_le_left,0,UNSAT,61,316,0
Option.choice_eq_some,0,UNSAT,16,162,0
Option.orElse_eq_or,0,UNSAT,41,222,0
Option.merge_some_some,0,UNSAT,27,158,0
Option.pbind_map,0,UNSAT,20,166,0
Option.join_join,0,UNSAT,39,173,0
Option.filter_beq_self,0,UNSAT,158,327,0
Option.map_guard,0,UNSAT,38,275,0
Option.filter_or_filter,0,UNSAT,41,224,0
Option.all_filter,0,UNSAT,98,296,0
Option.pbind_some',0,UNSAT,39,226,0
Option.beq_none,0,UNSAT,41,210,1
Option.left_le_max,0,UNSAT,64,475,0
Option.any_true,0,UNSAT,27,3343,0
Option.merge_lt_iff,0,UNSAT,137,1597,0
Option.max_pfilter_right,0,UNSAT,107,118,1
Option.map_max,0,UNSAT,67,369,0
Option.mem_unique,0,UNSAT,22,172,0
Option.rel_some_some,0,UNSAT,58,166,0
Option.guard_eq_ite,0,UNSAT,25,164,0
Option.merge_eq_or_eq,0,UNSAT,67,195,0
Option.filter_pfilter,0,UNSAT,54,222,0
Option.isSome_guard,0,UNSAT,66,228,1
Option.map_congr,0,UNSAT,68,277,0
Option.pfilter_le,0,UNSAT,118,285,0
Option.or_none,0,UNSAT,40,222,0
Option.all_eq_true_iff_get,0,UNSAT,43,263,0
Option.pbind_join,0,UNSAT,66,274,0
Option.map_pbind,0,UNSAT,93,284,0
